Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create A New Booking,2000,225,196,247,286,643,144,6164,"0,000%","2,22284","2,08","1,03"
1741144267019,163,Create A New Booking,200,OK,Create Booking 1-178,text,true,,960,475,1,1,https://restful-booker.herokuapp.com/booking,163,0,127
1741144267319,203,Create A New Booking,200,OK,Create Booking 1-179,text,true,,957,475,1,1,https://restful-booker.herokuapp.com/booking,203,0,167
1741144267618,191,Create A New Booking,200,OK,Create Booking 1-180,text,true,,957,475,1,1,https://restful-booker.herokuapp.com/booking,191,0,144
1741144267920,162,Create A New Booking,200,OK,Create Booking 1-181,text,true,,957,475,1,1,https://restful-booker.herokuapp.com/booking,162,0,115
1741144268220,179,Create A New Booking,200,OK,Create Booking 1-182,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,179,0,120
1741144268520,202,Create A New Booking,200,OK,Create Booking 1-183,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,202,0,152
1741144268820,187,Create A New Booking,200,OK,Create Booking 1-184,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,187,0,141
1741144269120,210,Create A New Booking,200,OK,Create Booking 1-185,text,true,,961,475,1,1,https://restful-booker.herokuapp.com/booking,210,0,170
1741144269419,195,Create A New Booking,200,OK,Create Booking 1-186,text,true,,961,475,1,1,https://restful-booker.herokuapp.com/booking,195,0,148
1741144269718,162,Create A New Booking,200,OK,Create Booking 1-187,text,true,,961,475,1,1,https://restful-booker.herokuapp.com/booking,162,0,119
1741144270019,266,Create A New Booking,200,OK,Create Booking 1-188,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,266,0,222
1741144270318,183,Create A New Booking,200,OK,Create Booking 1-189,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,183,0,142
1741144270619,188,Create A New Booking,200,OK,Create Booking 1-190,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,188,0,142
1741144270919,206,Create A New Booking,200,OK,Create Booking 1-191,text,true,,953,475,1,1,https://restful-booker.herokuapp.com/booking,206,0,128
1741144271218,204,Create A New Booking,200,OK,Create Booking 1-192,text,true,,957,475,1,1,https://restful-booker.herokuapp.com/booking,204,0,168
